Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2015,1,1,24,6,1/24/15,AA,19805,AA,N784AA,133,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,1630,1635,5,5,0,0,1600-1659,35,1710,1932,5,2007,1937,-30,0,0,-2,2000-2059,0,,0,397,362,322,1,2475,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,12,1,1/12/15,AA,19805,AA,N3BTAA,137,11278,1127802,30852,DCA,"Washington, DC",VA,51,Virginia,38,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,734,,,,,,0700-0759,,,,,1015,,,,,,1000-1059,1,B,0,221,,,1,1192,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,5,1,1/5/15,AA,19805,AA,N3EFAA,139,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,1225,1234,9,9,0,0,1200-1259,10,1244,1452,9,1518,1501,-17,0,0,-2,1500-1559,0,,0,353,327,308,1,2342,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,28,3,1/28/15,AA,19805,AA,N3EHAA,35,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11278,1127802,30852,DCA,"Washington, DC",VA,51,Virginia,38,1130,1126,-4,0,0,-1,1100-1159,11,1137,1503,10,1510,1513,3,3,0,0,1500-1559,0,,0,160,167,146,1,1192,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,6,2,1/6/15,AA,19805,AA,N3FYAA,37,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,2100,2229,89,89,1,5,2100-2159,17,2246,2312,4,2205,2316,71,71,1,4,2200-2259,0,,0,185,167,146,1,1171,5,70,0,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

