CARRIER,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE,DEP_DEL15
US,DCA,CLT,1153,1310,331,0
UA,MDT,ORD,652,754,594,0
UA,MCO,EWR,1216,1453,937,0
WN,DAL,SAN,630,732,1182,0
WN,BOI,PHX,1205,1301,735,0
WN,MDW,DEN,1308,1428,895,0
WN,PHL,DEN,1802,2007,1558,0
WN,SAN,OAK,1742,1859,446,1
WN,TPA,DAL,1635,1811,917,0
WN,LAS,BOI,852,1127,519,0
AA,LAX,KOA,1659,2001,2504,0
AA,DCA,DFW,1349,1603,1192,0
AA,MIA,SJU,1107,1336,1045,0
AS,SJC,OGG,831,1111,2355,0
B6,BOS,JFK,?,?,187,?
DL,LAX,MCO,1621,2340,2218,0
DL,JFK,SFO,1029,1350,2586,1
DL,MCO,LAX,1840,2148,2218,0
DL,ATL,CLE,844,1017,554,0
DL,MSP,SLC,1448,1625,991,1
EV,ROC,ORD,1013,1100,528,0
EV,IAH,PNS,734,918,489,0
EV,ROA,ATL,1148,1318,357,1
EV,ORD,MCI,1941,2118,403,0
MQ,HSV,ORD,1724,1904,510,0
MQ,GSP,DFW,611,805,862,0
NK,DFW,ATL,1503,1815,731,0
OO,SAT,PHX,846,926,843,0
OO,IAH,MSP,1353,1647,1034,0
OO,IAH,JAX,1936,2237,817,0
UA,IAD,SFO,824,1057,2419,0
UA,IAD,MCO,2212,24,758,0
UA,ORD,CLE,1344,1555,315,0
US,PHL,LAS,1602,1816,2176,0
US,FLL,DCA,1842,2142,899,0
UA,DEN,PHL,1800,2344,1558,0
WN,HOU,LAS,906,1018,1235,0
WN,ATL,FLL,1812,2016,581,1
WN,OMA,MDW,657,826,423,0
WN,MCI,DAL,1706,1830,460,1
WN,BUR,OAK,1051,1159,325,0
WN,DCA,MDW,1226,1311,601,0
WN,PNS,HOU,1506,1649,488,1
AA,LAX,MIA,1215,1940,2342,0
AA,DFW,BOS,704,1139,1562,0
AA,DFW,BNA,1456,1700,631,0
AS,SEA,SJC,1211,1416,697,0
B6,FLL,LGA,555,831,1076,0
B6,RSW,BOS,2109,2351,1249,0
DL,SEA,MSP,918,1431,1399,0
DL,JFK,SFO,1139,1456,2586,0
DL,ATL,RSW,1418,1552,515,0
DL,ATL,MCI,2207,2320,692,0
DL,AUS,ATL,1203,1501,813,0
EV,EWR,JAX,2030,2305,820,0
EV,ATL,OAJ,2106,2219,399,0
EV,AVP,ORD,644,749,632,0
HA,HNL,SJC,1324,2148,2417,0
MQ,CLE,ORD,1517,1532,315,0
NK,BWI,IAH,1536,1811,1235,0
OO,BOI,SLC,1518,1618,290,0
OO,SLC,TUS,830,930,601,0
OO,OKC,IAH,1716,1835,395,0
