OO,MEM,1236,1412,0
FL,MSP,825,928,0
WN,RDU,558,754,0
WN,MCO,1817,2039,0
EV,MSP,1555,1900,0
DL,SEA,659,1224,0
OO,SBA,605,726,0
AA,LGA,1337,1707,0
WN,TPA,1635,1811,0
OO,ORD,1308,1424,0
OO,RDD,540,658,0
AA,MCO,851,1035,0
9E,HLN,547,856,0
EV,ORD,1106,1311,0
EV,HRL,1108,1218,1
WN,SEA,957,1539,0
WN,PHX,1532,1942,0
WN,MCI,1918,2045,0
AA,LGA,938,1248,0
AA,MIA,2037,2253,0
US,IAH,1005,1323,0
OO,MSP,1530,1627,0
AA,JFK,733,1108,1
EV,DTW,1914,1923,1
US,MCO,1056,1340,0
DL,DFW,1238,1414,0
OO,DEN,2025,2103,1
DL,ATL,2149,2321,0
DL,ATL,1218,1350,0
UA,SEA,552,1539,0
WN,LAS,950,1243,0
MQ,EVV,1545,1657,1
EV,TUL,2159,2314,1
OO,SLC,1116,1142,0
F9,MSN,533,636,0
MQ,CLL,1145,1240,0
EV,ORD,?,?,?
WN,OMA,644,707,0
EV,PHF,1706,1853,1
F9,DEN,743,917,0
AA,IAH,1254,1612,1
MQ,DFW,1412,1619,0
WN,OAK,607,853,0
OO,LAX,845,1006,1
AA,DFW,926,1250,0
US,CLT,757,916,0
EV,ATL,1903,2052,0
DL,ATL,2115,2223,1
OO,SAN,611,659,0
AA,COS,747,1029,0
AA,DFW,1512,1609,0
WN,PHX,1910,2108,0
UA,IAD,1746,2041,1
YV,IAD,818,945,0
DL,MCO,1604,1846,0
MQ,DFW,1450,1637,0
DL,JFK,2017,2333,0
US,RIC,1430,1539,0
DL,ATL,820,946,0
AA,LAX,755,1239,0
UA,IAH,1617,1752,0
FL,BWI,1123,1311,0
US,OMA,754,916,0
US,RDU,1129,1243,0
WN,LAS,1952,2040,0
WN,IAD,1246,1328,1
DL,PNS,1843,2051,0
AA,MIA,2115,2300,0
OO,DEN,1319,1500,1
MQ,LAX,2230,2318,0
OO,CLE,?,?,?
OO,DIK,550,823,0
OO,LAX,2007,2056,0
DL,BOS,2051,2253,1
US,DCA,2055,2212,0
MQ,PIA,1742,2006,0
US,PHL,754,955,0
EV,IAH,1018,1211,0
EV,LFT,1031,1155,0
EV,SGF,1254,1529,0
